thread_id,start,end,minutes_seconds,duration
102,17:37.3,07-02-2022 16:17:37.38,17:37.379,69
103,17:37.4,07-02-2022 16:17:37.45,17:37.448,69
104,17:37.4,07-02-2022 16:17:37.51,17:37.514,66
105,17:37.5,07-02-2022 16:17:37.58,17:37.583,68
106,17:37.6,07-02-2022 16:17:37.65,17:37.652,69
107,17:37.7,07-02-2022 16:17:37.72,17:37.720,68
108,17:37.7,07-02-2022 16:17:37.79,17:37.789,69
109,17:37.8,07-02-2022 16:17:37.86,17:37.858,69
110,17:37.9,07-02-2022 16:17:37.92,17:37.924,66
111,17:37.9,07-02-2022 16:17:37.99,17:37.991,67
112,17:38.0,07-02-2022 16:17:38.06,17:38.060,69
113,17:38.1,07-02-2022 16:17:38.13,17:38.128,68
114,17:38.1,07-02-2022 16:17:38.20,17:38.196,68
115,17:38.2,07-02-2022 16:17:38.26,17:38.263,67
116,17:38.3,07-02-2022 16:17:38.34,17:38.343,80
117,17:38.3,07-02-2022 16:17:38.41,17:38.410,67
118,17:38.4,07-02-2022 16:17:38.48,17:38.479,69
119,17:38.5,07-02-2022 16:17:38.55,17:38.546,67
120,17:38.5,07-02-2022 16:17:38.61,17:38.613,67
121,17:38.6,07-02-2022 16:17:38.68,17:38.680,67
122,17:38.7,07-02-2022 16:17:38.75,17:38.747,67
123,17:38.7,07-02-2022 16:17:38.82,17:38.816,67
124,17:38.8,07-02-2022 16:17:38.88,17:38.883,67
125,17:38.9,07-02-2022 16:17:38.95,17:38.951,68
126,17:39.0,07-02-2022 16:17:39.02,17:39.018,67
127,17:39.0,07-02-2022 16:17:39.08,17:39.085,67
128,17:39.1,07-02-2022 16:17:39.15,17:39.152,67
129,17:39.2,07-02-2022 16:17:39.22,17:39.218,66
130,17:39.2,07-02-2022 16:17:39.29,17:39.288,70
131,17:39.3,07-02-2022 16:17:39.36,17:39.355,67
132,17:39.4,07-02-2022 16:17:39.42,17:39.423,68
133,17:39.4,07-02-2022 16:17:39.49,17:39.491,68
134,17:39.5,07-02-2022 16:17:39.56,17:39.560,69
135,17:39.6,07-02-2022 16:17:39.63,17:39.627,67
136,17:39.6,07-02-2022 16:17:39.69,17:39.693,66
137,17:39.7,07-02-2022 16:17:39.76,17:39.760,67
138,17:39.8,07-02-2022 16:17:39.83,17:39.827,67
139,17:39.8,07-02-2022 16:17:39.90,17:39.895,67
140,17:39.9,07-02-2022 16:17:39.96,17:39.962,67
141,17:40.0,07-02-2022 16:17:40.03,17:40.031,69
142,17:40.0,07-02-2022 16:17:40.10,17:40.099,68
143,17:40.1,07-02-2022 16:17:40.17,17:40.166,67
144,17:40.2,07-02-2022 16:17:40.23,17:40.233,67
145,17:40.2,07-02-2022 16:17:40.30,17:40.302,68
146,17:40.3,07-02-2022 16:17:40.37,17:40.370,68
147,17:40.4,07-02-2022 16:17:40.44,17:40.437,67
148,17:40.4,07-02-2022 16:17:40.51,17:40.505,68
149,17:40.5,07-02-2022 16:17:40.57,17:40.572,67
150,17:40.6,07-02-2022 16:17:40.65,17:40.645,73
151,17:40.6,07-02-2022 16:17:40.71,17:40.713,68
152,17:40.7,07-02-2022 16:17:40.78,17:40.780,67
153,17:40.8,07-02-2022 16:17:40.85,17:40.847,67
154,17:40.8,07-02-2022 16:17:40.91,17:40.914,67
155,17:40.9,07-02-2022 16:17:40.98,17:40.981,67
156,17:41.0,07-02-2022 16:17:41.05,17:41.049,68
157,17:41.0,07-02-2022 16:17:41.12,17:41.117,68
158,17:41.1,07-02-2022 16:17:41.19,17:41.186,69
159,17:41.2,07-02-2022 16:17:41.26,17:41.255,69
160,17:41.3,07-02-2022 16:17:41.32,17:41.322,67
161,17:41.3,07-02-2022 16:17:41.39,17:41.389,67
162,17:41.4,07-02-2022 16:17:41.46,17:41.457,68
163,17:41.5,07-02-2022 16:17:41.53,17:41.525,68
164,17:41.5,07-02-2022 16:17:41.59,17:41.592,66
165,17:41.6,07-02-2022 16:17:41.66,17:41.663,71
166,17:41.7,07-02-2022 16:17:41.73,17:41.732,69
167,17:41.7,07-02-2022 16:17:41.80,17:41.799,67
168,17:41.8,07-02-2022 16:17:41.87,17:41.866,67
169,17:41.9,07-02-2022 16:17:41.93,17:41.934,68
170,17:41.9,07-02-2022 16:17:42.00,17:42.002,67
171,17:42.0,07-02-2022 16:17:42.07,17:42.069,67
172,17:42.1,07-02-2022 16:17:42.14,17:42.137,68
173,17:42.1,07-02-2022 16:17:42.20,17:42.204,67
174,17:42.2,07-02-2022 16:17:42.27,17:42.273,69
175,17:42.3,07-02-2022 16:17:42.34,17:42.341,68
176,17:42.3,07-02-2022 16:17:42.41,17:42.408,67
177,17:42.4,07-02-2022 16:17:42.48,17:42.476,68
178,17:42.5,07-02-2022 16:17:42.54,17:42.543,67
179,17:42.5,07-02-2022 16:17:42.61,17:42.614,71
180,17:42.6,07-02-2022 16:17:42.68,17:42.684,69
181,17:42.7,07-02-2022 16:17:42.75,17:42.754,70
182,17:42.8,07-02-2022 16:17:42.82,17:42.821,67
183,17:42.8,07-02-2022 16:17:42.89,17:42.892,70
184,17:42.9,07-02-2022 16:17:42.96,17:42.963,70
185,17:43.0,07-02-2022 16:17:43.03,17:43.032,68
186,17:43.0,07-02-2022 16:17:43.11,17:43.107,75
187,17:43.1,07-02-2022 16:17:43.18,17:43.175,68
188,17:43.2,07-02-2022 16:17:43.24,17:43.243,68
189,17:43.2,07-02-2022 16:17:43.31,17:43.311,68
190,17:43.3,07-02-2022 16:17:43.38,17:43.378,67
191,17:43.4,07-02-2022 16:17:43.45,17:43.445,67
192,17:43.4,07-02-2022 16:17:43.51,17:43.512,67
193,17:43.5,07-02-2022 16:17:43.58,17:43.578,66
194,17:43.6,07-02-2022 16:17:43.65,17:43.645,67
195,17:43.6,07-02-2022 16:17:43.71,17:43.713,68
196,17:43.7,07-02-2022 16:17:43.78,17:43.779,66
197,17:43.8,07-02-2022 16:17:43.85,17:43.846,67
198,17:43.8,07-02-2022 16:17:43.91,17:43.913,67
199,17:43.9,07-02-2022 16:17:43.98,17:43.981,68
200,17:44.0,07-02-2022 16:17:44.11,17:44.112,131
201,17:44.1,07-02-2022 16:17:44.18,17:44.180,68
202,17:44.2,07-02-2022 16:17:44.25,17:44.246,66
203,17:44.2,07-02-2022 16:17:44.31,17:44.313,67
204,17:44.3,07-02-2022 16:17:44.38,17:44.380,67
205,17:44.4,07-02-2022 16:17:44.45,17:44.447,67
206,17:44.4,07-02-2022 16:17:44.51,17:44.514,67
207,17:44.5,07-02-2022 16:17:44.58,17:44.580,66
208,17:44.6,07-02-2022 16:17:44.65,17:44.646,66
209,17:44.6,07-02-2022 16:17:44.72,17:44.718,72
210,17:44.7,07-02-2022 16:17:44.79,17:44.785,67
211,17:44.8,07-02-2022 16:17:44.85,17:44.852,67
212,17:44.9,07-02-2022 16:17:44.92,17:44.921,69
213,17:44.9,07-02-2022 16:17:44.99,17:44.988,67
214,17:45.0,07-02-2022 16:17:45.05,17:45.055,66
215,17:45.1,07-02-2022 16:17:45.13,17:45.126,71
216,17:45.1,07-02-2022 16:17:45.19,17:45.193,67
217,17:45.2,07-02-2022 16:17:45.26,17:45.260,67
218,17:45.3,07-02-2022 16:17:45.33,17:45.326,66
219,17:45.3,07-02-2022 16:17:45.40,17:45.396,70
220,17:45.4,07-02-2022 16:17:45.46,17:45.463,67
221,17:45.5,07-02-2022 16:17:45.53,17:45.531,68
222,17:45.5,07-02-2022 16:17:45.60,17:45.597,66
223,17:45.6,07-02-2022 16:17:45.66,17:45.664,67
224,17:45.7,07-02-2022 16:17:45.73,17:45.731,67
225,17:45.7,07-02-2022 16:17:45.80,17:45.799,68
226,17:45.8,07-02-2022 16:17:45.87,17:45.868,69
227,17:45.9,07-02-2022 16:17:45.94,17:45.935,67
228,17:45.9,07-02-2022 16:17:46.00,17:46.002,67
229,17:46.0,07-02-2022 16:17:46.07,17:46.068,66
230,17:46.1,07-02-2022 16:17:46.14,17:46.135,67
231,17:46.1,07-02-2022 16:17:46.20,17:46.202,67
232,17:46.2,07-02-2022 16:17:46.27,17:46.268,66
233,17:46.3,07-02-2022 16:17:46.34,17:46.336,68
234,17:46.3,07-02-2022 16:17:46.40,17:46.404,68
235,17:46.4,07-02-2022 16:17:46.47,17:46.472,68
236,17:46.5,07-02-2022 16:17:46.54,17:46.538,66
237,17:46.5,07-02-2022 16:17:46.61,17:46.605,67
238,17:46.6,07-02-2022 16:17:46.67,17:46.673,68
239,17:46.7,07-02-2022 16:17:46.74,17:46.739,66
240,17:46.7,07-02-2022 16:17:46.81,17:46.807,67
241,17:46.8,07-02-2022 16:17:46.88,17:46.876,69
242,17:46.9,07-02-2022 16:17:46.94,17:46.944,68
243,17:46.9,07-02-2022 16:17:47.01,17:47.011,66
244,17:47.0,07-02-2022 16:17:47.08,17:47.081,70
245,17:47.1,07-02-2022 16:17:47.15,17:47.150,69
246,17:47.1,07-02-2022 16:17:47.22,17:47.216,66
247,17:47.2,07-02-2022 16:17:47.29,17:47.285,69
248,17:47.3,07-02-2022 16:17:47.35,17:47.354,69
249,17:47.4,07-02-2022 16:17:47.42,17:47.422,68
250,17:47.4,07-02-2022 16:17:47.49,17:47.488,66
251,17:47.5,07-02-2022 16:17:47.55,17:47.553,65
252,17:47.6,07-02-2022 16:17:47.62,17:47.622,68
253,17:47.6,07-02-2022 16:17:47.69,17:47.692,70
254,17:47.7,07-02-2022 16:17:47.76,17:47.760,68
255,17:47.8,07-02-2022 16:17:47.83,17:47.827,67
256,17:47.8,07-02-2022 16:17:47.90,17:47.896,68
257,17:47.9,07-02-2022 16:17:47.96,17:47.963,66
258,17:48.0,07-02-2022 16:17:48.03,17:48.031,68
259,17:48.0,07-02-2022 16:17:48.11,17:48.110,79
260,17:48.1,07-02-2022 16:17:48.18,17:48.177,67
261,17:48.2,07-02-2022 16:17:48.24,17:48.244,67
262,17:48.2,07-02-2022 16:17:48.31,17:48.310,66
263,17:48.3,07-02-2022 16:17:48.38,17:48.377,67
264,17:48.4,07-02-2022 16:17:48.44,17:48.445,68
265,17:48.4,07-02-2022 16:17:48.51,17:48.511,66
266,17:48.5,07-02-2022 16:17:48.58,17:48.585,74
267,17:48.6,07-02-2022 16:17:48.65,17:48.652,67
268,17:48.7,07-02-2022 16:17:48.72,17:48.720,68
269,17:48.7,07-02-2022 16:17:48.79,17:48.788,68
270,17:48.8,07-02-2022 16:17:48.86,17:48.856,68
271,17:48.9,07-02-2022 16:17:48.92,17:48.923,67
272,17:48.9,07-02-2022 16:17:48.99,17:48.990,67
273,17:49.0,07-02-2022 16:17:49.06,17:49.056,66
274,17:49.1,07-02-2022 16:17:49.12,17:49.124,68
275,17:49.1,07-02-2022 16:17:49.19,17:49.191,67
276,17:49.2,07-02-2022 16:17:49.26,17:49.259,68
277,17:49.3,07-02-2022 16:17:49.33,17:49.326,67
278,17:49.3,07-02-2022 16:17:49.39,17:49.393,67
279,17:49.4,07-02-2022 16:17:49.46,17:49.459,66
280,17:49.5,07-02-2022 16:17:49.53,17:49.526,67
281,17:49.5,07-02-2022 16:17:49.59,17:49.594,68
282,17:49.6,07-02-2022 16:17:49.66,17:49.661,67
283,17:49.7,07-02-2022 16:17:49.73,17:49.729,67
284,17:49.7,07-02-2022 16:17:49.80,17:49.795,66
285,17:49.8,07-02-2022 16:17:49.86,17:49.862,67
286,17:49.9,07-02-2022 16:17:49.93,17:49.932,70
287,17:49.9,07-02-2022 16:17:50.00,17:49.999,67
288,17:50.0,07-02-2022 16:17:50.07,17:50.067,68
289,17:50.1,07-02-2022 16:17:50.13,17:50.134,67
290,17:50.1,07-02-2022 16:17:50.20,17:50.200,66
291,17:50.2,07-02-2022 16:17:50.27,17:50.268,68
292,17:50.3,07-02-2022 16:17:50.33,17:50.334,66
293,17:50.3,07-02-2022 16:17:50.40,17:50.400,66
294,17:50.4,07-02-2022 16:17:50.47,17:50.467,67
295,17:50.5,07-02-2022 16:17:50.53,17:50.534,67
296,17:50.5,07-02-2022 16:17:50.60,17:50.600,66
297,17:50.6,07-02-2022 16:17:50.67,17:50.667,67
298,17:50.7,07-02-2022 16:17:50.73,17:50.733,66
299,17:50.7,07-02-2022 16:17:50.80,17:50.800,67
300,17:50.8,07-02-2022 16:17:54.05,17:54.047,3247
301,17:54.0,07-02-2022 16:17:54.15,17:54.148,101
302,17:54.1,07-02-2022 16:17:54.25,17:54.252,104
303,17:54.3,07-02-2022 16:17:54.35,17:54.354,102
304,17:54.4,07-02-2022 16:17:54.42,17:54.418,64
305,17:54.4,07-02-2022 16:17:54.49,17:54.486,67
306,17:54.5,07-02-2022 16:17:54.55,17:54.553,67
307,17:54.6,07-02-2022 16:17:54.65,17:54.651,98
308,17:54.7,07-02-2022 16:17:54.72,17:54.715,64
309,17:54.7,07-02-2022 16:17:54.87,17:54.865,150
310,17:54.9,07-02-2022 16:17:54.93,17:54.929,64
311,17:54.9,07-02-2022 16:17:54.99,17:54.994,65
312,17:55.0,07-02-2022 16:17:55.06,17:55.058,64
313,17:55.1,07-02-2022 16:17:55.12,17:55.122,64
314,17:55.1,07-02-2022 16:17:55.19,17:55.187,65
315,17:55.2,07-02-2022 16:17:55.25,17:55.252,65
316,17:55.3,07-02-2022 16:17:55.32,17:55.317,65
317,17:55.3,07-02-2022 16:17:55.38,17:55.381,64
318,17:55.4,07-02-2022 16:17:55.45,17:55.445,64
319,17:55.4,07-02-2022 16:17:55.51,17:55.511,66
320,17:55.5,07-02-2022 16:17:55.58,17:55.575,64
321,17:55.6,07-02-2022 16:17:55.64,17:55.640,65
322,17:55.6,07-02-2022 16:17:55.71,17:55.707,67
323,17:55.7,07-02-2022 16:17:55.77,17:55.772,65
324,17:55.8,07-02-2022 16:17:55.84,17:55.837,65
325,17:55.8,07-02-2022 16:17:55.90,17:55.903,66
326,17:55.9,07-02-2022 16:17:55.97,17:55.968,65
327,17:56.0,07-02-2022 16:17:56.03,17:56.032,64
328,17:56.0,07-02-2022 16:17:56.10,17:56.097,65
329,17:56.1,07-02-2022 16:17:56.16,17:56.160,63
330,17:56.2,07-02-2022 16:17:56.23,17:56.225,65
331,17:56.2,07-02-2022 16:17:56.29,17:56.290,65
332,17:56.3,07-02-2022 16:17:56.36,17:56.355,65
333,17:56.4,07-02-2022 16:17:56.42,17:56.421,66
334,17:56.4,07-02-2022 16:17:56.49,17:56.487,66
335,17:56.5,07-02-2022 16:17:56.56,17:56.556,69
336,17:56.6,07-02-2022 16:17:56.62,17:56.621,65
337,17:56.6,07-02-2022 16:17:56.69,17:56.688,67
338,17:56.7,07-02-2022 16:17:56.75,17:56.752,64
339,17:56.8,07-02-2022 16:17:56.82,17:56.817,65
340,17:56.8,07-02-2022 16:17:56.88,17:56.882,65
341,17:56.9,07-02-2022 16:17:56.95,17:56.947,65
342,17:56.9,07-02-2022 16:17:57.01,17:57.013,66
343,17:57.0,07-02-2022 16:17:57.08,17:57.078,65
344,17:57.1,07-02-2022 16:17:57.14,17:57.143,65
345,17:57.1,07-02-2022 16:17:57.21,17:57.208,65
346,17:57.2,07-02-2022 16:17:57.27,17:57.273,65
347,17:57.3,07-02-2022 16:17:57.34,17:57.339,66
348,17:57.3,07-02-2022 16:17:57.40,17:57.404,65
349,17:57.4,07-02-2022 16:17:57.47,17:57.470,66
350,17:57.5,07-02-2022 16:17:57.54,17:57.535,65
351,17:57.5,07-02-2022 16:17:57.60,17:57.599,64
352,17:57.6,07-02-2022 16:17:57.66,17:57.664,65
353,17:57.7,07-02-2022 16:17:57.73,17:57.731,67
354,17:57.7,07-02-2022 16:17:57.80,17:57.797,66
355,17:57.8,07-02-2022 16:17:57.87,17:57.865,68
356,17:57.9,07-02-2022 16:17:57.93,17:57.930,65
357,17:57.9,07-02-2022 16:17:57.99,17:57.994,64
358,17:58.0,07-02-2022 16:17:58.06,17:58.061,67
359,17:58.1,07-02-2022 16:17:58.13,17:58.127,66
360,17:58.1,07-02-2022 16:17:58.19,17:58.193,66
361,17:58.2,07-02-2022 16:17:58.26,17:58.258,65
362,17:58.3,07-02-2022 16:17:58.32,17:58.324,66
363,17:58.3,07-02-2022 16:17:58.39,17:58.390,66
364,17:58.4,07-02-2022 16:17:58.46,17:58.457,67
365,17:58.5,07-02-2022 16:17:58.52,17:58.522,65
366,17:58.5,07-02-2022 16:17:58.59,17:58.587,65
367,17:58.6,07-02-2022 16:17:58.65,17:58.652,65
368,17:58.7,07-02-2022 16:17:58.72,17:58.718,66
369,17:58.7,07-02-2022 16:17:58.78,17:58.782,64
370,17:58.8,07-02-2022 16:17:58.85,17:58.846,64
371,17:58.8,07-02-2022 16:17:58.91,17:58.911,65
372,17:58.9,07-02-2022 16:17:58.98,17:58.976,65
373,17:59.0,07-02-2022 16:17:59.04,17:59.041,65
374,17:59.0,07-02-2022 16:17:59.11,17:59.105,64
375,17:59.1,07-02-2022 16:17:59.17,17:59.170,65
376,17:59.2,07-02-2022 16:17:59.23,17:59.234,64
377,17:59.2,07-02-2022 16:17:59.30,17:59.298,64
378,17:59.3,07-02-2022 16:17:59.36,17:59.362,64
379,17:59.4,07-02-2022 16:17:59.43,17:59.427,65
380,17:59.4,07-02-2022 16:17:59.49,17:59.492,65
381,17:59.5,07-02-2022 16:17:59.56,17:59.557,65
382,17:59.6,07-02-2022 16:17:59.62,17:59.622,65
383,17:59.6,07-02-2022 16:17:59.69,17:59.688,66
384,17:59.7,07-02-2022 16:17:59.75,17:59.753,65
385,17:59.8,07-02-2022 16:17:59.82,17:59.817,64
386,17:59.8,07-02-2022 16:17:59.88,17:59.883,66
387,17:59.9,07-02-2022 16:17:59.95,17:59.949,66
388,17:59.9,07-02-2022 16:18:00.01,18:00.014,65
389,18:00.0,07-02-2022 16:18:00.08,18:00.078,64
390,18:00.1,07-02-2022 16:18:00.14,18:00.142,64
391,18:00.1,07-02-2022 16:18:00.21,18:00.207,65
392,18:00.2,07-02-2022 16:18:00.27,18:00.271,64
393,18:00.3,07-02-2022 16:18:00.34,18:00.335,64
394,18:00.3,07-02-2022 16:18:00.40,18:00.400,65
395,18:00.4,07-02-2022 16:18:00.46,18:00.464,64
396,18:00.5,07-02-2022 16:18:00.53,18:00.529,65
397,18:00.5,07-02-2022 16:18:00.59,18:00.594,65
398,18:00.6,07-02-2022 16:18:00.66,18:00.658,64
399,18:00.7,07-02-2022 16:18:00.72,18:00.723,65
400,18:00.7,07-02-2022 16:18:01.87,18:01.867,1144
401,18:01.9,07-02-2022 16:18:01.93,18:01.933,66
402,18:01.9,07-02-2022 16:18:02.00,18:02.000,67
403,18:02.0,07-02-2022 16:18:02.07,18:02.073,73
404,18:02.1,07-02-2022 16:18:02.14,18:02.140,67
405,18:02.1,07-02-2022 16:18:02.21,18:02.207,67
